cluster_id,titles,dominant_type,top_terms,sample_titles
3,3931,Movie,"movies, dramas, international, comedies, family, independent, romantic, children",My Little Pony: A New Generation | Sankofa | The Starling
2,1381,TV Show,"tv, shows, international, crime, dramas, romantic, british, spanish",Blood & Water | Ganglands | Kota Factory
1,1188,TV Show,"tv, kids, docuseries, series, shows, reality, anime, world",Jailbirds New Orleans | Midnight Mass | The Great British Baking Show
4,1028,Movie,"action, adventure, fantasy, sci, fi, movies, international, dramas",Dark Skies | The Stronghold | Birth of the Dragon
0,879,Movie,"documentaries, documentary, movies, music, sports, musicals, international, life",Dick Johnson Is Dead | Europe's Most Dangerous Man: Otto Skorzeny in Spain | My Heroes Were Cowboys
5,400,Movie,"stand, comedy, comedian, special, comic, talk, stage, live",Lokillo: Nothing's the Same | The Original Kings of Comedy | Plastic Cup Boyz: Laughing My Mask Off!
